00000000000 // a =  0 , b =  0 , sel =  0
01001000110 // a =  4 , b =  6 , sel =  2
01001000111 // a =  4 , b =  7 , sel =  2
01001001000 // a =  4 , b =  8 , sel =  2
01001001001 // a =  4 , b =  9 , sel =  2
01001001010 // a =  4 , b = 10 , sel =  2
01001001011 // a =  4 , b = 11 , sel =  2
01001001100 // a =  4 , b = 12 , sel =  2
01001001101 // a =  4 , b = 13 , sel =  2
01001001110 // a =  4 , b = 14 , sel =  2
01001001111 // a =  4 , b = 15 , sel =  2
01001010000 // a =  5 , b =  0 , sel =  2
01001010001 // a =  5 , b =  1 , sel =  2
01001010010 // a =  5 , b =  2 , sel =  2
01001010011 // a =  5 , b =  3 , sel =  2
01001010100 // a =  5 , b =  4 , sel =  2
01001010101 // a =  5 , b =  5 , sel =  2
01001010110 // a =  5 , b =  6 , sel =  2
01001010111 // a =  5 , b =  7 , sel =  2
01001011000 // a =  5 , b =  8 , sel =  2
01001011001 // a =  5 , b =  9 , sel =  2
01001011010 // a =  5 , b = 10 , sel =  2
01001011011 // a =  5 , b = 11 , sel =  2
01001011100 // a =  5 , b = 12 , sel =  2
01001011101 // a =  5 , b = 13 , sel =  2
01001011110 // a =  5 , b = 14 , sel =  2
01001011111 // a =  5 , b = 15 , sel =  2
01001100000 // a =  6 , b =  0 , sel =  2
01001100001 // a =  6 , b =  1 , sel =  2
01001100010 // a =  6 , b =  2 , sel =  2
01001100011 // a =  6 , b =  3 , sel =  2
01001100100 // a =  6 , b =  4 , sel =  2
01001100101 // a =  6 , b =  5 , sel =  2
01001100110 // a =  6 , b =  6 , sel =  2
01001100111 // a =  6 , b =  7 , sel =  2
01001101000 // a =  6 , b =  8 , sel =  2
01001101001 // a =  6 , b =  9 , sel =  2
01001101010 // a =  6 , b = 10 , sel =  2
01001101011 // a =  6 , b = 11 , sel =  2
01001101100 // a =  6 , b = 12 , sel =  2
01001101101 // a =  6 , b = 13 , sel =  2
01001101110 // a =  6 , b = 14 , sel =  2
01001101111 // a =  6 , b = 15 , sel =  2
01001110000 // a =  7 , b =  0 , sel =  2
01001110001 // a =  7 , b =  1 , sel =  2
01001110010 // a =  7 , b =  2 , sel =  2
01001110011 // a =  7 , b =  3 , sel =  2
01001110100 // a =  7 , b =  4 , sel =  2
01001110101 // a =  7 , b =  5 , sel =  2
01001110110 // a =  7 , b =  6 , sel =  2
01001110111 // a =  7 , b =  7 , sel =  2
01001111000 // a =  7 , b =  8 , sel =  2
01001111001 // a =  7 , b =  9 , sel =  2
01001111010 // a =  7 , b = 10 , sel =  2
01001111011 // a =  7 , b = 11 , sel =  2
01001111100 // a =  7 , b = 12 , sel =  2
01001111101 // a =  7 , b = 13 , sel =  2
01001111110 // a =  7 , b = 14 , sel =  2
01001111111 // a =  7 , b = 15 , sel =  2
01010000000 // a =  8 , b =  0 , sel =  2
01010000001 // a =  8 , b =  1 , sel =  2
01010000010 // a =  8 , b =  2 , sel =  2
01010000011 // a =  8 , b =  3 , sel =  2
01010000100 // a =  8 , b =  4 , sel =  2
01010000101 // a =  8 , b =  5 , sel =  2
01010000110 // a =  8 , b =  6 , sel =  2
01010000111 // a =  8 , b =  7 , sel =  2
01010001000 // a =  8 , b =  8 , sel =  2
01010001001 // a =  8 , b =  9 , sel =  2
01010001010 // a =  8 , b = 10 , sel =  2
01010001011 // a =  8 , b = 11 , sel =  2
01010001100 // a =  8 , b = 12 , sel =  2
01010001101 // a =  8 , b = 13 , sel =  2
01010001110 // a =  8 , b = 14 , sel =  2
01010001111 // a =  8 , b = 15 , sel =  2
01010010000 // a =  9 , b =  0 , sel =  2
01010010001 // a =  9 , b =  1 , sel =  2
01010010010 // a =  9 , b =  2 , sel =  2
01010010011 // a =  9 , b =  3 , sel =  2
01010010100 // a =  9 , b =  4 , sel =  2
01010010101 // a =  9 , b =  5 , sel =  2
01010010110 // a =  9 , b =  6 , sel =  2
01010010111 // a =  9 , b =  7 , sel =  2
01010011000 // a =  9 , b =  8 , sel =  2
01010011001 // a =  9 , b =  9 , sel =  2
01010011010 // a =  9 , b = 10 , sel =  2
01010011011 // a =  9 , b = 11 , sel =  2
01010011100 // a =  9 , b = 12 , sel =  2
01010011101 // a =  9 , b = 13 , sel =  2
01010011110 // a =  9 , b = 14 , sel =  2
01010011111 // a =  9 , b = 15 , sel =  2
01010100000 // a = 10 , b =  0 , sel =  2
01010100001 // a = 10 , b =  1 , sel =  2
01010100010 // a = 10 , b =  2 , sel =  2
01010100011 // a = 10 , b =  3 , sel =  2
01010100100 // a = 10 , b =  4 , sel =  2
01010100101 // a = 10 , b =  5 , sel =  2
01010100110 // a = 10 , b =  6 , sel =  2
01010100111 // a = 10 , b =  7 , sel =  2
01010101000 // a = 10 , b =  8 , sel =  2
01010101001 // a = 10 , b =  9 , sel =  2
01010101010 // a = 10 , b = 10 , sel =  2
01010101011 // a = 10 , b = 11 , sel =  2
01010101100 // a = 10 , b = 12 , sel =  2
01010101101 // a = 10 , b = 13 , sel =  2
01010101110 // a = 10 , b = 14 , sel =  2
01010101111 // a = 10 , b = 15 , sel =  2
01010110000 // a = 11 , b =  0 , sel =  2
01010110001 // a = 11 , b =  1 , sel =  2
01010110010 // a = 11 , b =  2 , sel =  2
01010110011 // a = 11 , b =  3 , sel =  2
01010110100 // a = 11 , b =  4 , sel =  2
01010110101 // a = 11 , b =  5 , sel =  2
01010110110 // a = 11 , b =  6 , sel =  2
01010110111 // a = 11 , b =  7 , sel =  2
01010111000 // a = 11 , b =  8 , sel =  2
01010111001 // a = 11 , b =  9 , sel =  2
01010111010 // a = 11 , b = 10 , sel =  2
01010111011 // a = 11 , b = 11 , sel =  2
01010111100 // a = 11 , b = 12 , sel =  2
01010111101 // a = 11 , b = 13 , sel =  2
01010111110 // a = 11 , b = 14 , sel =  2
01010111111 // a = 11 , b = 15 , sel =  2
01011000000 // a = 12 , b =  0 , sel =  2
01011000001 // a = 12 , b =  1 , sel =  2
01011000010 // a = 12 , b =  2 , sel =  2
01011000011 // a = 12 , b =  3 , sel =  2
01011000100 // a = 12 , b =  4 , sel =  2
01011000101 // a = 12 , b =  5 , sel =  2
01011000110 // a = 12 , b =  6 , sel =  2
01011000111 // a = 12 , b =  7 , sel =  2
01011001000 // a = 12 , b =  8 , sel =  2
01011001001 // a = 12 , b =  9 , sel =  2
01011001010 // a = 12 , b = 10 , sel =  2
01011001011 // a = 12 , b = 11 , sel =  2
01011001100 // a = 12 , b = 12 , sel =  2
01011001101 // a = 12 , b = 13 , sel =  2
01011001110 // a = 12 , b = 14 , sel =  2
01011001111 // a = 12 , b = 15 , sel =  2
01011010000 // a = 13 , b =  0 , sel =  2
01011010001 // a = 13 , b =  1 , sel =  2
01011010010 // a = 13 , b =  2 , sel =  2
01011010011 // a = 13 , b =  3 , sel =  2
01011010100 // a = 13 , b =  4 , sel =  2
01011010101 // a = 13 , b =  5 , sel =  2
01011010110 // a = 13 , b =  6 , sel =  2
01011010111 // a = 13 , b =  7 , sel =  2
01011011000 // a = 13 , b =  8 , sel =  2
01011011001 // a = 13 , b =  9 , sel =  2
01011011010 // a = 13 , b = 10 , sel =  2
01011011011 // a = 13 , b = 11 , sel =  2
01011011100 // a = 13 , b = 12 , sel =  2
01011011101 // a = 13 , b = 13 , sel =  2
01011011110 // a = 13 , b = 14 , sel =  2
01011011111 // a = 13 , b = 15 , sel =  2
01011100000 // a = 14 , b =  0 , sel =  2
01011100001 // a = 14 , b =  1 , sel =  2
01011100010 // a = 14 , b =  2 , sel =  2
01011100011 // a = 14 , b =  3 , sel =  2
01011100100 // a = 14 , b =  4 , sel =  2
01011100101 // a = 14 , b =  5 , sel =  2
01011100110 // a = 14 , b =  6 , sel =  2
01011100111 // a = 14 , b =  7 , sel =  2
01011101000 // a = 14 , b =  8 , sel =  2
01011101001 // a = 14 , b =  9 , sel =  2
01011101010 // a = 14 , b = 10 , sel =  2
01011101011 // a = 14 , b = 11 , sel =  2
01011101100 // a = 14 , b = 12 , sel =  2
01011101101 // a = 14 , b = 13 , sel =  2
01011101110 // a = 14 , b = 14 , sel =  2
01011101111 // a = 14 , b = 15 , sel =  2
01011110000 // a = 15 , b =  0 , sel =  2
01011110001 // a = 15 , b =  1 , sel =  2
01011110010 // a = 15 , b =  2 , sel =  2
01011110011 // a = 15 , b =  3 , sel =  2
01011110100 // a = 15 , b =  4 , sel =  2
01011110101 // a = 15 , b =  5 , sel =  2
01011110110 // a = 15 , b =  6 , sel =  2
01011110111 // a = 15 , b =  7 , sel =  2
01011111000 // a = 15 , b =  8 , sel =  2
01011111001 // a = 15 , b =  9 , sel =  2
01011111010 // a = 15 , b = 10 , sel =  2
01011111011 // a = 15 , b = 11 , sel =  2
01011111100 // a = 15 , b = 12 , sel =  2
01011111101 // a = 15 , b = 13 , sel =  2
01011111110 // a = 15 , b = 14 , sel =  2
01011111111 // a = 15 , b = 15 , sel =  2
01100000000 // a =  0 , b =  0 , sel =  3
01100000001 // a =  0 , b =  1 , sel =  3
01100000010 // a =  0 , b =  2 , sel =  3
01100000011 // a =  0 , b =  3 , sel =  3
01100000100 // a =  0 , b =  4 , sel =  3
01100000101 // a =  0 , b =  5 , sel =  3
01100000110 // a =  0 , b =  6 , sel =  3
01100000111 // a =  0 , b =  7 , sel =  3
01100001000 // a =  0 , b =  8 , sel =  3
01100001001 // a =  0 , b =  9 , sel =  3
01100001010 // a =  0 , b = 10 , sel =  3
01100001011 // a =  0 , b = 11 , sel =  3
01100001100 // a =  0 , b = 12 , sel =  3
01100001101 // a =  0 , b = 13 , sel =  3
01100001110 // a =  0 , b = 14 , sel =  3
01100001111 // a =  0 , b = 15 , sel =  3
01100010000 // a =  1 , b =  0 , sel =  3
01100010001 // a =  1 , b =  1 , sel =  3
01100010010 // a =  1 , b =  2 , sel =  3
01100010011 // a =  1 , b =  3 , sel =  3
01100010100 // a =  1 , b =  4 , sel =  3
01100010101 // a =  1 , b =  5 , sel =  3
01100010110 // a =  1 , b =  6 , sel =  3
01100010111 // a =  1 , b =  7 , sel =  3
01100011000 // a =  1 , b =  8 , sel =  3
01100011001 // a =  1 , b =  9 , sel =  3
01100011010 // a =  1 , b = 10 , sel =  3
01100011011 // a =  1 , b = 11 , sel =  3
01100011100 // a =  1 , b = 12 , sel =  3
01100011101 // a =  1 , b = 13 , sel =  3
01100011110 // a =  1 , b = 14 , sel =  3
01100011111 // a =  1 , b = 15 , sel =  3
01100100000 // a =  2 , b =  0 , sel =  3
01100100001 // a =  2 , b =  1 , sel =  3
01100100010 // a =  2 , b =  2 , sel =  3
01100100011 // a =  2 , b =  3 , sel =  3
01100100100 // a =  2 , b =  4 , sel =  3
01100100101 // a =  2 , b =  5 , sel =  3
01100100110 // a =  2 , b =  6 , sel =  3
01100100111 // a =  2 , b =  7 , sel =  3
01100101000 // a =  2 , b =  8 , sel =  3
01100101001 // a =  2 , b =  9 , sel =  3
01100101010 // a =  2 , b = 10 , sel =  3
01100101011 // a =  2 , b = 11 , sel =  3
01100101100 // a =  2 , b = 12 , sel =  3
01100101101 // a =  2 , b = 13 , sel =  3
01100101110 // a =  2 , b = 14 , sel =  3
01100101111 // a =  2 , b = 15 , sel =  3
01100110000 // a =  3 , b =  0 , sel =  3
01100110001 // a =  3 , b =  1 , sel =  3
01100110010 // a =  3 , b =  2 , sel =  3
01100110011 // a =  3 , b =  3 , sel =  3
01100110100 // a =  3 , b =  4 , sel =  3
01100110101 // a =  3 , b =  5 , sel =  3
01100110110 // a =  3 , b =  6 , sel =  3
01100110111 // a =  3 , b =  7 , sel =  3
01100111000 // a =  3 , b =  8 , sel =  3
01100111001 // a =  3 , b =  9 , sel =  3
01100111010 // a =  3 , b = 10 , sel =  3
01100111011 // a =  3 , b = 11 , sel =  3
01100111100 // a =  3 , b = 12 , sel =  3
01100111101 // a =  3 , b = 13 , sel =  3
01100111110 // a =  3 , b = 14 , sel =  3
01100111111 // a =  3 , b = 15 , sel =  3
01101000000 // a =  4 , b =  0 , sel =  3
01101000001 // a =  4 , b =  1 , sel =  3
01101000010 // a =  4 , b =  2 , sel =  3
01101000011 // a =  4 , b =  3 , sel =  3
01101000100 // a =  4 , b =  4 , sel =  3
01101000101 // a =  4 , b =  5 , sel =  3
01101000110 // a =  4 , b =  6 , sel =  3
01101000111 // a =  4 , b =  7 , sel =  3
01101001000 // a =  4 , b =  8 , sel =  3
01101001001 // a =  4 , b =  9 , sel =  3
01101001010 // a =  4 , b = 10 , sel =  3
01101001011 // a =  4 , b = 11 , sel =  3
01101001100 // a =  4 , b = 12 , sel =  3
01101001101 // a =  4 , b = 13 , sel =  3
01101001110 // a =  4 , b = 14 , sel =  3
01101001111 // a =  4 , b = 15 , sel =  3
01101010000 // a =  5 , b =  0 , sel =  3
01101010001 // a =  5 , b =  1 , sel =  3
01101010010 // a =  5 , b =  2 , sel =  3
01101010011 // a =  5 , b =  3 , sel =  3
01101010100 // a =  5 , b =  4 , sel =  3
01101010101 // a =  5 , b =  5 , sel =  3
01101010110 // a =  5 , b =  6 , sel =  3
01101010111 // a =  5 , b =  7 , sel =  3
01101011000 // a =  5 , b =  8 , sel =  3
01101011001 // a =  5 , b =  9 , sel =  3
01101011010 // a =  5 , b = 10 , sel =  3
01101011011 // a =  5 , b = 11 , sel =  3
01101011100 // a =  5 , b = 12 , sel =  3
01101011101 // a =  5 , b = 13 , sel =  3
01101011110 // a =  5 , b = 14 , sel =  3
01101011111 // a =  5 , b = 15 , sel =  3
01101100000 // a =  6 , b =  0 , sel =  3
01101100001 // a =  6 , b =  1 , sel =  3
01101100010 // a =  6 , b =  2 , sel =  3
01101100011 // a =  6 , b =  3 , sel =  3
01101100100 // a =  6 , b =  4 , sel =  3
01101100101 // a =  6 , b =  5 , sel =  3
01101100110 // a =  6 , b =  6 , sel =  3
01101100111 // a =  6 , b =  7 , sel =  3
01101101000 // a =  6 , b =  8 , sel =  3
01101101001 // a =  6 , b =  9 , sel =  3
01101101010 // a =  6 , b = 10 , sel =  3
01101101011 // a =  6 , b = 11 , sel =  3
01101101100 // a =  6 , b = 12 , sel =  3
01101101101 // a =  6 , b = 13 , sel =  3
01101101110 // a =  6 , b = 14 , sel =  3
01101101111 // a =  6 , b = 15 , sel =  3
01101110000 // a =  7 , b =  0 , sel =  3
01101110001 // a =  7 , b =  1 , sel =  3
01101110010 // a =  7 , b =  2 , sel =  3
01101110011 // a =  7 , b =  3 , sel =  3
01101110100 // a =  7 , b =  4 , sel =  3
01101110101 // a =  7 , b =  5 , sel =  3
01101110110 // a =  7 , b =  6 , sel =  3
01101110111 // a =  7 , b =  7 , sel =  3
01101111000 // a =  7 , b =  8 , sel =  3
01101111001 // a =  7 , b =  9 , sel =  3
01101111010 // a =  7 , b = 10 , sel =  3
01101111011 // a =  7 , b = 11 , sel =  3
01101111100 // a =  7 , b = 12 , sel =  3
01101111101 // a =  7 , b = 13 , sel =  3
01101111110 // a =  7 , b = 14 , sel =  3
01101111111 // a =  7 , b = 15 , sel =  3
01110000000 // a =  8 , b =  0 , sel =  3
01110000001 // a =  8 , b =  1 , sel =  3
01110000010 // a =  8 , b =  2 , sel =  3
01110000011 // a =  8 , b =  3 , sel =  3
01110000100 // a =  8 , b =  4 , sel =  3
01110000101 // a =  8 , b =  5 , sel =  3
01110000110 // a =  8 , b =  6 , sel =  3
01110000111 // a =  8 , b =  7 , sel =  3
01110001000 // a =  8 , b =  8 , sel =  3
01110001001 // a =  8 , b =  9 , sel =  3
01110001010 // a =  8 , b = 10 , sel =  3
01110001011 // a =  8 , b = 11 , sel =  3
01110001100 // a =  8 , b = 12 , sel =  3
01110001101 // a =  8 , b = 13 , sel =  3
01110001110 // a =  8 , b = 14 , sel =  3
01110001111 // a =  8 , b = 15 , sel =  3
01110010000 // a =  9 , b =  0 , sel =  3
01110010001 // a =  9 , b =  1 , sel =  3
01110010010 // a =  9 , b =  2 , sel =  3
01110010011 // a =  9 , b =  3 , sel =  3
01110010100 // a =  9 , b =  4 , sel =  3
01110010101 // a =  9 , b =  5 , sel =  3
01110010110 // a =  9 , b =  6 , sel =  3
01110010111 // a =  9 , b =  7 , sel =  3
01110011000 // a =  9 , b =  8 , sel =  3
01110011001 // a =  9 , b =  9 , sel =  3
01110011010 // a =  9 , b = 10 , sel =  3
01110011011 // a =  9 , b = 11 , sel =  3
01110011100 // a =  9 , b = 12 , sel =  3
01110011101 // a =  9 , b = 13 , sel =  3
01110011110 // a =  9 , b = 14 , sel =  3
01110011111 // a =  9 , b = 15 , sel =  3
01110100000 // a = 10 , b =  0 , sel =  3
01110100001 // a = 10 , b =  1 , sel =  3
01110100010 // a = 10 , b =  2 , sel =  3
01110100011 // a = 10 , b =  3 , sel =  3
01110100100 // a = 10 , b =  4 , sel =  3
01110100101 // a = 10 , b =  5 , sel =  3
01110100110 // a = 10 , b =  6 , sel =  3
01110100111 // a = 10 , b =  7 , sel =  3
01110101000 // a = 10 , b =  8 , sel =  3
01110101001 // a = 10 , b =  9 , sel =  3
01110101010 // a = 10 , b = 10 , sel =  3
01110101011 // a = 10 , b = 11 , sel =  3
01110101100 // a = 10 , b = 12 , sel =  3
01110101101 // a = 10 , b = 13 , sel =  3
01110101110 // a = 10 , b = 14 , sel =  3
01110101111 // a = 10 , b = 15 , sel =  3
01110110000 // a = 11 , b =  0 , sel =  3
01110110001 // a = 11 , b =  1 , sel =  3
01110110010 // a = 11 , b =  2 , sel =  3
01110110011 // a = 11 , b =  3 , sel =  3
01110110100 // a = 11 , b =  4 , sel =  3
01110110101 // a = 11 , b =  5 , sel =  3
01110110110 // a = 11 , b =  6 , sel =  3
01110110111 // a = 11 , b =  7 , sel =  3
01110111000 // a = 11 , b =  8 , sel =  3
01110111001 // a = 11 , b =  9 , sel =  3
01110111010 // a = 11 , b = 10 , sel =  3
01110111011 // a = 11 , b = 11 , sel =  3
01110111100 // a = 11 , b = 12 , sel =  3
01110111101 // a = 11 , b = 13 , sel =  3
01110111110 // a = 11 , b = 14 , sel =  3
01110111111 // a = 11 , b = 15 , sel =  3
01111000000 // a = 12 , b =  0 , sel =  3
01111000001 // a = 12 , b =  1 , sel =  3
01111000010 // a = 12 , b =  2 , sel =  3
01111000011 // a = 12 , b =  3 , sel =  3
01111000100 // a = 12 , b =  4 , sel =  3
01111000101 // a = 12 , b =  5 , sel =  3
01111000110 // a = 12 , b =  6 , sel =  3
01111000111 // a = 12 , b =  7 , sel =  3
01111001000 // a = 12 , b =  8 , sel =  3
01111001001 // a = 12 , b =  9 , sel =  3
01111001010 // a = 12 , b = 10 , sel =  3
01111001011 // a = 12 , b = 11 , sel =  3
01111001100 // a = 12 , b = 12 , sel =  3
01111001101 // a = 12 , b = 13 , sel =  3
01111001110 // a = 12 , b = 14 , sel =  3
01111001111 // a = 12 , b = 15 , sel =  3
01111010000 // a = 13 , b =  0 , sel =  3
01111010001 // a = 13 , b =  1 , sel =  3
01111010010 // a = 13 , b =  2 , sel =  3
01111010011 // a = 13 , b =  3 , sel =  3
01111010100 // a = 13 , b =  4 , sel =  3
01111010101 // a = 13 , b =  5 , sel =  3
01111010110 // a = 13 , b =  6 , sel =  3
01111010111 // a = 13 , b =  7 , sel =  3
01111011000 // a = 13 , b =  8 , sel =  3
01111011001 // a = 13 , b =  9 , sel =  3
01111011010 // a = 13 , b = 10 , sel =  3
01111011011 // a = 13 , b = 11 , sel =  3
01111011100 // a = 13 , b = 12 , sel =  3
01111011101 // a = 13 , b = 13 , sel =  3
01111011110 // a = 13 , b = 14 , sel =  3
01111011111 // a = 13 , b = 15 , sel =  3
01111100000 // a = 14 , b =  0 , sel =  3
01111100001 // a = 14 , b =  1 , sel =  3
01111100010 // a = 14 , b =  2 , sel =  3
01111100011 // a = 14 , b =  3 , sel =  3
01111100100 // a = 14 , b =  4 , sel =  3
01111100101 // a = 14 , b =  5 , sel =  3
01111100110 // a = 14 , b =  6 , sel =  3
01111100111 // a = 14 , b =  7 , sel =  3
01111101000 // a = 14 , b =  8 , sel =  3
01111101001 // a = 14 , b =  9 , sel =  3
01111101010 // a = 14 , b = 10 , sel =  3
01111101011 // a = 14 , b = 11 , sel =  3
01111101100 // a = 14 , b = 12 , sel =  3
01111101101 // a = 14 , b = 13 , sel =  3
01111101110 // a = 14 , b = 14 , sel =  3
01111101111 // a = 14 , b = 15 , sel =  3
01111110000 // a = 15 , b =  0 , sel =  3
01111110001 // a = 15 , b =  1 , sel =  3
01111110010 // a = 15 , b =  2 , sel =  3
01111110011 // a = 15 , b =  3 , sel =  3
01111110100 // a = 15 , b =  4 , sel =  3
01111110101 // a = 15 , b =  5 , sel =  3
01111110110 // a = 15 , b =  6 , sel =  3
01111110111 // a = 15 , b =  7 , sel =  3
01111111000 // a = 15 , b =  8 , sel =  3
01111111001 // a = 15 , b =  9 , sel =  3
01111111010 // a = 15 , b = 10 , sel =  3
01111111011 // a = 15 , b = 11 , sel =  3
01111111100 // a = 15 , b = 12 , sel =  3
01111111101 // a = 15 , b = 13 , sel =  3
01111111110 // a = 15 , b = 14 , sel =  3
01111111111 // a = 15 , b = 15 , sel =  3
10000000000 // a =  0 , b =  0 , sel =  4
10000000001 // a =  0 , b =  1 , sel =  4
10000000010 // a =  0 , b =  2 , sel =  4
10000000011 // a =  0 , b =  3 , sel =  4
10000000100 // a =  0 , b =  4 , sel =  4
10000000101 // a =  0 , b =  5 , sel =  4
10000000110 // a =  0 , b =  6 , sel =  4
10000000111 // a =  0 , b =  7 , sel =  4
10000001000 // a =  0 , b =  8 , sel =  4
10000001001 // a =  0 , b =  9 , sel =  4
10000001010 // a =  0 , b = 10 , sel =  4
10000001011 // a =  0 , b = 11 , sel =  4
10000001100 // a =  0 , b = 12 , sel =  4
10000001101 // a =  0 , b = 13 , sel =  4
10000001110 // a =  0 , b = 14 , sel =  4
10000001111 // a =  0 , b = 15 , sel =  4
10000010000 // a =  1 , b =  0 , sel =  4
10000010001 // a =  1 , b =  1 , sel =  4
10000010010 // a =  1 , b =  2 , sel =  4
10000010011 // a =  1 , b =  3 , sel =  4
10000010100 // a =  1 , b =  4 , sel =  4
10000010101 // a =  1 , b =  5 , sel =  4
10000010110 // a =  1 , b =  6 , sel =  4
10000010111 // a =  1 , b =  7 , sel =  4
10000011000 // a =  1 , b =  8 , sel =  4
10000011001 // a =  1 , b =  9 , sel =  4
10000011010 // a =  1 , b = 10 , sel =  4
10000011011 // a =  1 , b = 11 , sel =  4
10000011100 // a =  1 , b = 12 , sel =  4
10000011101 // a =  1 , b = 13 , sel =  4
10000011110 // a =  1 , b = 14 , sel =  4
10000011111 // a =  1 , b = 15 , sel =  4
10000100000 // a =  2 , b =  0 , sel =  4
10000100001 // a =  2 , b =  1 , sel =  4
10000100010 // a =  2 , b =  2 , sel =  4
10000100011 // a =  2 , b =  3 , sel =  4
10000100100 // a =  2 , b =  4 , sel =  4
10000100101 // a =  2 , b =  5 , sel =  4
10000100110 // a =  2 , b =  6 , sel =  4
10000100111 // a =  2 , b =  7 , sel =  4
10000101000 // a =  2 , b =  8 , sel =  4
10000101001 // a =  2 , b =  9 , sel =  4
10000101010 // a =  2 , b = 10 , sel =  4
10000101011 // a =  2 , b = 11 , sel =  4
10000101100 // a =  2 , b = 12 , sel =  4
10000101101 // a =  2 , b = 13 , sel =  4
10000101110 // a =  2 , b = 14 , sel =  4
10000101111 // a =  2 , b = 15 , sel =  4
10000110000 // a =  3 , b =  0 , sel =  4
10000110001 // a =  3 , b =  1 , sel =  4
10000110010 // a =  3 , b =  2 , sel =  4
10000110011 // a =  3 , b =  3 , sel =  4
10000110100 // a =  3 , b =  4 , sel =  4
10000110101 // a =  3 , b =  5 , sel =  4
10000110110 // a =  3 , b =  6 , sel =  4
10000110111 // a =  3 , b =  7 , sel =  4
10000111000 // a =  3 , b =  8 , sel =  4
10000111001 // a =  3 , b =  9 , sel =  4
10000111010 // a =  3 , b = 10 , sel =  4
10000111011 // a =  3 , b = 11 , sel =  4
10000111100 // a =  3 , b = 12 , sel =  4
10000111101 // a =  3 , b = 13 , sel =  4
10000111110 // a =  3 , b = 14 , sel =  4
10000111111 // a =  3 , b = 15 , sel =  4
10001000000 // a =  4 , b =  0 , sel =  4
10001000001 // a =  4 , b =  1 , sel =  4
10001000010 // a =  4 , b =  2 , sel =  4
10001000011 // a =  4 , b =  3 , sel =  4
10001000100 // a =  4 , b =  4 , sel =  4
10001000101 // a =  4 , b =  5 , sel =  4
10001000110 // a =  4 , b =  6 , sel =  4
10001000111 // a =  4 , b =  7 , sel =  4
10001001000 // a =  4 , b =  8 , sel =  4
10001001001 // a =  4 , b =  9 , sel =  4
10001001010 // a =  4 , b = 10 , sel =  4
10001001011 // a =  4 , b = 11 , sel =  4
10001001100 // a =  4 , b = 12 , sel =  4
10001001101 // a =  4 , b = 13 , sel =  4
10001001110 // a =  4 , b = 14 , sel =  4
10001001111 // a =  4 , b = 15 , sel =  4
10001010000 // a =  5 , b =  0 , sel =  4
10001010001 // a =  5 , b =  1 , sel =  4
10001010010 // a =  5 , b =  2 , sel =  4
10001010011 // a =  5 , b =  3 , sel =  4
10001010100 // a =  5 , b =  4 , sel =  4
10001010101 // a =  5 , b =  5 , sel =  4
10001010110 // a =  5 , b =  6 , sel =  4
10001010111 // a =  5 , b =  7 , sel =  4
10001011000 // a =  5 , b =  8 , sel =  4
10001011001 // a =  5 , b =  9 , sel =  4
10001011010 // a =  5 , b = 10 , sel =  4
10001011011 // a =  5 , b = 11 , sel =  4
10001011100 // a =  5 , b = 12 , sel =  4
10001011101 // a =  5 , b = 13 , sel =  4
10001011110 // a =  5 , b = 14 , sel =  4
10001011111 // a =  5 , b = 15 , sel =  4
10001100000 // a =  6 , b =  0 , sel =  4
10001100001 // a =  6 , b =  1 , sel =  4
10001100010 // a =  6 , b =  2 , sel =  4
10001100011 // a =  6 , b =  3 , sel =  4
10001100100 // a =  6 , b =  4 , sel =  4
10001100101 // a =  6 , b =  5 , sel =  4
10001100110 // a =  6 , b =  6 , sel =  4
10001100111 // a =  6 , b =  7 , sel =  4
10001101000 // a =  6 , b =  8 , sel =  4
10001101001 // a =  6 , b =  9 , sel =  4
10001101010 // a =  6 , b = 10 , sel =  4
10001101011 // a =  6 , b = 11 , sel =  4
10001101100 // a =  6 , b = 12 , sel =  4
10001101101 // a =  6 , b = 13 , sel =  4
10001101110 // a =  6 , b = 14 , sel =  4
10001101111 // a =  6 , b = 15 , sel =  4
10001110000 // a =  7 , b =  0 , sel =  4
10001110001 // a =  7 , b =  1 , sel =  4
10001110010 // a =  7 , b =  2 , sel =  4
10001110011 // a =  7 , b =  3 , sel =  4
10001110100 // a =  7 , b =  4 , sel =  4
10001110101 // a =  7 , b =  5 , sel =  4
10001110110 // a =  7 , b =  6 , sel =  4
10001110111 // a =  7 , b =  7 , sel =  4
10001111000 // a =  7 , b =  8 , sel =  4
10001111001 // a =  7 , b =  9 , sel =  4
10001111010 // a =  7 , b = 10 , sel =  4
10001111011 // a =  7 , b = 11 , sel =  4
10001111100 // a =  7 , b = 12 , sel =  4
10001111101 // a =  7 , b = 13 , sel =  4
10001111110 // a =  7 , b = 14 , sel =  4
10001111111 // a =  7 , b = 15 , sel =  4
10010000000 // a =  8 , b =  0 , sel =  4
10010000001 // a =  8 , b =  1 , sel =  4
10010000010 // a =  8 , b =  2 , sel =  4
10010000011 // a =  8 , b =  3 , sel =  4
10010000100 // a =  8 , b =  4 , sel =  4
10010000101 // a =  8 , b =  5 , sel =  4
10010000110 // a =  8 , b =  6 , sel =  4
10010000111 // a =  8 , b =  7 , sel =  4
10010001000 // a =  8 , b =  8 , sel =  4
10010001001 // a =  8 , b =  9 , sel =  4
10010001010 // a =  8 , b = 10 , sel =  4
10010001011 // a =  8 , b = 11 , sel =  4
